date,bid,ask,open,high,low,close
04/02/2013,53.7,53.75,55,55,53.6,53.75
04/03/2013,54.4,54.5,53.7,54.65,53.7,54.5
04/04/2013,54.7,54.75,55.2,55.5,54.6,54.7
04/05/2013,54.7,54.9,54.6,54.7,54.2,54.7
04/08/2013,54.45,54.75,55,55,54,54.45
04/10/2013,54.75,54.8,54.45,54.85,54,54.75
04/11/2013,54.85,54.9,54.85,54.95,54.8,54.85
04/12/2013,54.95,55,54.95,55,54.85,55
04/15/2013,54.65,54.75,55,55,54.45,54.75
04/16/2013,54.3,54.75,54,54.3,53.8,54.3
04/17/2013,54.35,54.95,54,54.95,54,54.35
04/18/2013,54.5,55,54.8,55,54,55
04/19/2013,54.7,54.8,55,55,54.2,54.7
04/22/2013,56.05,58.2,54.7,58.2,54.7,58.2
04/23/2013,55,56.25,56,56.9,55,55
04/24/2013,55.4,55.95,55.1,56.3,55.1,55.95
04/25/2013,56.8,57,55.5,57.1,55.2,57
04/26/2013,56.9,57,57,57.1,56.9,57
04/29/2013,56.85,56.9,57.15,57.15,56.7,56.9
04/30/2013,56.9,57,57,57,56.9,57
05/02/2013,56.95,57,57.4,57.4,56.9,56.95
05/03/2013,58.4,58.45,57.6,58.5,57.6,58.4
05/06/2013,56.65,58.35,58.4,58.6,56.65,56.65
05/07/2013,56.95,57,56.8,58,56.75,57
05/08/2013,56.9,57,57,57.3,56.9,57
05/09/2013,56.5,56.9,56.9,57,56.1,56.9
05/10/2013,56.2,57,55.8,57,55.8,57
05/14/2013,56.05,56.95,57,57,55,56.05
05/15/2013,56.8,56.85,56.2,56.95,56.2,56.85
