DATE,OPEN,HIGH,LOW,CLOSE
12/20/2011,52.96,53.43,52.87,52.96
12/21/2011,52.96,53.94,52.96,53.71
12/22/2011,53.89,54.82,53.89,54.27
12/23/2011,54.54,54.82,53.89,54.36
12/26/2011,54.45,54.45,53.71,53.89
12/27/2011,53.75,54.45,53.34,54.45
12/28/2011,53.89,54.36,53.71,54.36
12/29/2011,54.45,54.82,54.08,54.82
01/02/2012,54.78,54.82,54.36,54.73
01/03/2012,54.82,55.38,54.73,55.29
01/04/2012,55.29,56.22,55.29,55.66
01/05/2012,55.47,55.94,55.38,55.38
01/06/2012,55.19,55.29,54.64,55.29
01/09/2012,55.29,57.61,55.29,57.61
01/10/2012,58.07,58.54,54.54,56.87
01/11/2012,56.87,57.47,56.87,57.15
01/12/2012,56.96,57.15,56.22,56.4
1/13/2012,56.68,56.68,54.82,54.96
1/16/2012,54.92,54.92,53.8,53.99
1/17/2012,54.4,55.75,53.24,55.19
1/18/2012,55.29,56.22,54.82,55.01
1/19/2012,55.52,55.61,54.64,54.82
1/20/2012,55.29,56.63,55.29,55.94
1/24/2012,55.94,56.96,55.94,56.73
1/25/2012,56.73,56.73,55.71,55.71
1/26/2012,55.71,55.75,55.29,55.61
1/27/2012,55.71,55.75,55.57,55.71
1/30/2012,55.75,55.89,55.1,55.33
1/31/2012,55.38,55.71,54.82,55.71
02/01/2012,55.75,56.68,55.71,56.12
02/02/2012,56.22,57.15,56.22,57.1
02/03/2012,57.05,57.05,56.63,56.82
02/06/2012,57.15,57.38,56.82,57.28
02/07/2012,57.19,57.28,56.91,57.01
02/08/2012,57.01,57.24,56.91,57.24
02/09/2012,57.24,57.24,56.68,56.91
02/10/2012,56.63,59,56.59,57.98
2/13/2012,58.17,59,57.98,58.68
2/14/2012,58.91,60.4,58.54,59.79
2/15/2012,59.75,59.93,59.1,59.19
2/16/2012,59.1,59.1,58.59,58.63
2/17/2012,59.47,60.21,59.47,59.75
2/20/2012,59.7,63,59.47,62.95
2/21/2012,62.72,62.72,62.07,62.44
2/22/2012,62.44,62.44,61.98,62.21
2/23/2012,62.26,65.04,61.33,61.33
2/24/2012,60.4,63.19,60.21,60.4
2/27/2012,62.16,62.16,59.65,59.84
2/28/2012,59.65,60.4,59.56,59.84
2/29/2012,60.4,61.23,59.84,60.86
03/01/2012,61.28,62.72,60.86,61.79
03/02/2012,61.79,62.26,61.79,62.16
03/05/2012,62.21,62.72,61.14,61.14
03/06/2012,61.79,61.79,60.86,61.19
03/07/2012,61.14,61.14,59.93,60.4
03/08/2012,60.4,61.51,60.4,61.23
03/09/2012,61.09,61.47,60.77,61.23
03/12/2012,61.23,61.23,60.77,60.91
3/13/2012,60.91,63.19,60.86,62.26
3/14/2012,63.19,63.65,63.14,63.19
3/15/2012,63.19,63.74,62.77,63.19
3/16/2012,63.19,64.3,63,64.11
3/19/2012,64.3,64.3,63.14,63.19
3/20/2012,63.19,63.23,61.79,62.16
3/21/2012,62.16,62.16,61.05,61.79
3/22/2012,61.65,61.65,61,61.33
3/23/2012,62.26,62.53,61.61,62.07
3/26/2012,62.72,62.72,61.98,62.02
3/27/2012,62.07,62.35,62.07,62.3
3/28/2012,62.67,62.72,62.12,62.63
3/29/2012,62.81,62.81,62.12,62.16
3/30/2012,62.49,62.49,61.33,61.51
04/02/2012,61.33,61.61,60.77,60.86
04/03/2012,60.86,60.86,56.45,56.63
04/04/2012,56.91,57.75,55.98,55.98
04/10/2012,55.94,57.98,55.75,57.84
04/11/2012,57.84,59,57.75,58.45
04/12/2012,58.35,59.19,58.35,59.05
4/13/2012,59.28,59.42,58.54,58.82
4/16/2012,58.82,60.12,58.54,60.07
4/17/2012,60.12,62.07,60.12,61.79
4/18/2012,61.88,63.28,61.79,62.67
4/19/2012,62.67,62.67,62.12,62.26
4/20/2012,61.7,64.02,61.7,63.84
4/23/2012,62.91,63.84,62.21,63.84
4/24/2012,63.56,63.56,62.72,63.19
4/25/2012,63.09,63.6,62.53,62.53
4/26/2012,62.53,62.63,61.79,62.02
4/27/2012,61.98,62.12,61.7,61.75
4/30/2012,61.7,61.98,61.47,61.51
05/02/2012,61.98,62.26,61.51,61.79
05/03/2012,62.26,62.26,61.75,61.88
05/04/2012,61.88,62.26,61.84,62.26
05/07/2012,61.75,61.75,60.3,60.82
05/08/2012,61.88,61.88,60.63,60.82
05/09/2012,60.68,60.72,59,59.24
05/10/2012,59.28,59.47,58.91,59.1
05/11/2012,59.1,60.21,58.54,58.54
5/14/2012,58.54,58.73,57.19,57.19
5/15/2012,57.15,58.26,57.05,57.05
5/16/2012,57.15,58.4,57.15,57.42
5/17/2012,57.42,59.47,57.42,59.47
5/18/2012,59.47,59.47,57.61,57.61
5/21/2012,58.54,58.54,57.61,57.66
5/22/2012,59.19,59.19,56.87,57.84
5/23/2012,57.84,59,57.61,59
5/24/2012,58.91,58.91,57.56,57.56
5/25/2012,57.61,59.38,57.61,58.82
5/28/2012,59.47,59.47,58.82,59.42
5/29/2012,59.42,60.4,59.33,60.12
5/30/2012,60.3,60.3,58.82,59.38
5/31/2012,60.86,65.51,58.49,65.51
06/01/2012,62.26,62.26,60.21,61.33
06/04/2012,60.77,60.77,60.26,60.35
06/05/2012,60.35,61.28,60.35,60.44
06/06/2012,61.33,63.51,60.86,62.91
06/07/2012,63.46,64.11,62.67,63
06/08/2012,63.05,63.25,61,61.2
06/11/2012,61.5,62.5,61.5,62.4
6/13/2012,62.4,68.4,62,68.4
6/14/2012,63.95,63.95,63,63
6/15/2012,63.5,63.5,60.5,61.05
6/18/2012,61.6,63.5,61.6,62.95
6/19/2012,63.5,63.6,62.95,63.05
6/20/2012,63.5,65,63.5,64
6/21/2012,64.45,64.45,63.05,63.2
6/22/2012,62.1,63.75,62,63.5
6/25/2012,63.6,64.2,62,63
6/26/2012,63,63.4,62.9,63.3
6/27/2012,63.35,63.85,62.8,63.3
6/28/2012,63.6,63.6,62.5,63.2
6/29/2012,63.2,63.45,62.8,63.4
07/02/2012,63.4,63.5,63,63.5
07/03/2012,63.55,64.05,63.5,64
07/04/2012,63.75,64.1,63,63.9
07/05/2012,63.9,64.1,63.6,63.85
07/06/2012,63.95,64,63,63.65
07/09/2012,63.55,63.55,62.2,62.25
07/10/2012,63,63,62,62.25
07/11/2012,62,62.5,62,62.5
07/12/2012,62.5,62.6,62,62
7/13/2012,62,62.4,62,62.15
7/16/2012,62.5,63.3,62.4,63
7/17/2012,63,64.05,63,63.8
7/18/2012,63.8,64.15,63.5,63.7
7/19/2012,63.8,63.8,62.9,63
7/20/2012,62.6,63.85,62.45,63.85
7/23/2012,63.4,63.4,61.45,61.55
7/24/2012,61.5,61.5,61,61.25
7/25/2012,61.35,61.55,61,61.05
7/26/2012,61,61.6,61,61.15
7/27/2012,61.6,62.6,61.55,61.85
7/30/2012,62,63.15,62,63.05
7/31/2012,63.1,64.55,63.1,64.45
08/01/2012,64,64.5,63,63.25
08/02/2012,63.25,64.55,63.25,64
08/03/2012,64,64,62.7,62.9
08/06/2012,62.9,64.2,62.3,63
08/08/2012,63,63.5,62.65,63
08/09/2012,63.1,63.5,62.1,62.25
08/10/2012,62.5,62.8,61.9,62
8/13/2012,62,62.2,61.8,62
8/14/2012,62.1,62.6,61.95,61.95
8/15/2012,62,62,61.5,61.5
8/16/2012,61.5,61.5,61.2,61.4
8/17/2012,61.15,61.5,61,61.2
8/22/2012,60.8,60.8,59.3,59.35
8/23/2012,60,60,59.05,59.75
8/24/2012,59.5,59.6,59.3,59.5
8/28/2012,59.4,60.5,59.35,59.65
8/29/2012,60,60.8,60,60.05
8/30/2012,60.65,60.7,60,60.2
8/31/2012,60.2,61.05,59.9,61.05
09/03/2012,61,61,60,60.65
09/04/2012,60.1,60.65,59.7,59.7
09/05/2012,60,60.15,59.4,59.5
09/06/2012,59.45,60.8,59.45,60.2
09/07/2012,60.95,61.1,60.5,60.5
09/10/2012,60.5,60.5,59.6,59.6
09/11/2012,59.8,59.8,58.9,59.25
09/12/2012,59.8,60,59,59.05
9/13/2012,59.3,60,59.3,59.75
